Model,HF_Model_Path,Benchmark,Task,Metric,Score,Score_StdErr,N_Samples_Original,N_Samples_Effective,Version,Date,Runtime_Seconds,Notes,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.2939001848428835,0.0196036120156371,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.3049907578558225,0.0198126126812243,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.434052757793765,,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.4436450839328537,,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_hard,exact_match,0.1699395770392749,0.0096957656782434,,,,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_algebra_hard,exact_match,0.3094462540716612,0.0264259521574351,307.0,307.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.2801302931596091,0.0256712061184297,307.0,307.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.1219512195121951,0.0296259632992286,123.0,123.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.1138211382113821,0.0287536008732374,123.0,123.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0681818181818181,0.0220223789459028,132.0,132.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0606060606060606,0.020847129156682,132.0,132.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0285714285714285,0.009973998820736,280.0,280.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0142857142857142,0.0071043508939153,280.0,280.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.1493506493506493,0.0288159624528871,154.0,154.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.1038961038961039,0.0246679522043541,154.0,154.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
